优化比较指令
16565411
21395649
20149071
19653643
21501767
15400360
17171035
18808874
16814391
18670929
15166523
16403882
20680264
15529319
16832254
18354308
15351281
19237524
16147978
14866344
19367432
15654309
18656807
19778785
15252284
17490827
15729202
15666601
16904651
15216336
15765876
16627526
15849692
17820350
14181734
15627274
15699013
14484851
15653682
14504205
16544626
15928599
16253221
18484631
15627194
17883724
21422886
16704676
16489773
15139689
15646425
15841842
15513542
16516252
15896292
17558897
14799065
18282098
14738833
16193001
20420858
15104485
18004116
14619494
14831731
17235197
18341118
19369916
17283261
15240988
18737120
14517784
17349138
14246489
15906509
17575396
14566062
19842354
15268831
15411558
16102149
15167323
16882534
14817511
19321974
14499297
16174285
15221756
14669829
17324380
14785132
16398318
14540935
18045704
15613352
16792933
16857328
13704552
20474482
14333046
16944743
16369854
14958334
17672411
15168383
16285397
16998551
15441858
17016396
17307168
15041506
19490856
14781394
16591853
18938633
14644431
17752540
15338100
14631092
16092987
15733298
17910425
18542602
15680972
19277478
17870620
15169589
19872865
15290488
17768596
17505062
16236583
21198339
25176779
18341294
18828034
20255668
17039753
15711007
19958072
14840941
17277943
14853650
15991084
19219477
15377394
17750552
16680571
14674954
15760855
15237784
19889632
15165766
16788457
17211943
16683042
21134255
15681838
20114464
18603959
15945015
19865213
18093066
16690640
20245393
23016522
16001620
14930376
19091149
15505124
16980632
17946381
15533528
18908472
14764377
15369088
20436252
15140472
21256029
17787320
16133325
18612590
15907723
15469702
21474010
16050615
15830966
18442927
16084950
17701389
17825816
15583065
17420596
16693738
15283105
19122097
20211185
17052919
19481712
20336885
16610608
17925971
15952412
15152442
20322982
15064423
18712727
17317113
14879770
17784943
15908019
16317270
19439630
15701288
16158991
16237994
15285856
18251017
15440272
17972003
15907997
17520839
17693389
14741850
17571319
16665598
15938463
23414173
21116299
15742042
15351004
18338949
14781994
19662634
15036100
16743970
16360299
14691784
17511786
16166086
16004498
18452064
15308196
19010740
14982274
16449881
20811251
16183609
16545352
18389374
15953902
19126198
15587312
16188013
21508331
15531243
19452178
20344144
19947837
17657155
15951076
17029129
16166490
16977675
15768206
15453692
20213830
14631699
17381750
16894976
14732703
18396134
14833815
21297769
15218194
15437239
18132189
15960657
16719004
17553950
15482915
19110740
15766224
18701532
17433986
15564012
19846191
16003667
16766760
18271679
15483964
15397726
17350880
15258657
18088674
15782889
15448307
17145956
15847109
18275333
15322338
15813141
16621223
15238718
16966378
15535483
17401513
15140058
15681078
17298119
15550483
18696737
16013907
16417146
17770247
16690477
18852388
16473102
15260061
19329980
14677522
18731951
19908583
18402497
15979657
20169810
15764716
17169350
16876878
15860793
20063745
16157097
17619049
18895074
16813011
16991039
18633193
14995268
19387988
16020370
15085181
18269579
15007897
18167825
16125354
15525654
16694362
18007790
17701171
16701495
15619452
17510976
15233219
18276402
17294644
15167228
19640695
15087652
18908219
16595147
15688728
16536193
16981927
14770554
20242002
15587979
17350476
15970407
15379189
21256238
21107022
16207799
16662009
23554788
18469605
16794497
19003092
16127489
15846683
20765518
15781619
16103935
16947670
15788910
20764628
17814443
17853324
22070930
17411927
15490537
17698682
15773068
15715881
19128475
15215390
20810414
15760248
16246875
16515220
14320623
17899500
14799706
17513912
